Algorithm,Seed,Population,Generation,Solutions,TimeDelta,GD,IGD,HV,S,STE
NSGA2,1,23,1,23,0.0,0.2051928294984615,0.2595307618368609,0.4618048400290665,0.009112165155838358,0.00025647104855153045
NSGA2,1,21,5,21,3.853282,0.1673270161061446,0.22377915035761117,0.5015034713781882,0.013020481280035207,0.00047937425328527776
NSGA2,1,36,10,36,3.6280289999999997,0.12340623827338566,0.19406938898621387,0.5529322282712702,0.011732607193214875,0.00031881859131403876
NSGA2,1,35,15,35,4.128165,0.08541673429032898,0.15420960119738633,0.6042788321275779,0.009618691659006643,0.00023892646110163188
NSGA2,1,57,20,57,4.109764,0.06316702623318839,0.13292679326635878,0.6382282719261764,0.011323219178257486,0.00032408447942332486
NSGA2,1,61,25,61,4.298953,0.04644346836684265,0.1089788851316355,0.6699502774104902,0.010300562478381313,0.00027387830689750407
NSGA2,1,77,30,77,4.533125,0.04518058683646443,0.09252904565545983,0.6994029512002616,0.007528751547000709,0.00013896718398712
NSGA2,1,73,35,73,4.055694,0.03214223072522367,0.07900820996462293,0.7336975032279415,0.01085715313727902,0.0002681341771048949
NSGA2,1,134,40,134,3.80005,0.031018519562594882,0.07157053900047644,0.7453712301929701,0.007806481842649532,0.00013629800519213318
NSGA2,1,190,45,190,4.229011,0.0287077069420027,0.06660546877206776,0.7495304361069091,0.00442661231026119,4.361651378174636e-05
NSGA2,1,191,50,191,3.608186,0.02491538865018915,0.06063954696316196,0.7551221340415524,0.005220079296092526,5.7115267529961134e-05
NSGA2,1,209,55,209,4.599893,0.02433468618466292,0.05954420924848628,0.7601218254758485,0.0043579410956266895,4.3277208138463854e-05
NSGA2,1,266,60,266,4.319485,0.021473378151872894,0.0557277681754347,0.7697994068995289,0.003400335706798967,2.4429294193905422e-05
NSGA2,1,332,65,332,4.346432,0.02005703600260383,0.052330197624977745,0.7739767677430416,0.003787376242483848,2.9781845593544677e-05
NSGA2,1,351,70,351,4.1635159999999996,0.01987745872375751,0.051808590415518434,0.7809091766007465,0.0030732662390782852,1.9066161753734925e-05
NSGA2,1,371,75,371,4.897577,0.018289821689784668,0.05049236029638572,0.785081029050339,0.002661862349322237,1.5057923648727808e-05
NSGA2,1,400,80,400,4.275234,0.018110912611748176,0.047410875456788314,0.7887499646346358,0.002840374944420641,1.659631268060356e-05
NSGA2,1,400,85,400,4.714031,0.017535205831769443,0.045135110369506314,0.7967784437304374,0.0027409647036060647,1.5003530785865852e-05
NSGA2,1,400,90,400,4.827562,0.01726897811189884,0.043843856124306975,0.7974020548390918,0.00279085179530063,1.529770123814916e-05
NSGA2,1,400,95,400,4.49205,0.016463001355449598,0.0433581239937224,0.7976281218430964,0.00309849276580056,1.8856174956731083e-05
NSGA2,1,400,100,400,5.208878,0.016300030950523133,0.040923880611540335,0.8027509024046523,0.002991809714241521,1.7712604220310676e-05
NSGA2,1,400,105,400,6.092858,0.015854521315431507,0.03912420520330267,0.803307421244931,0.0032868125623947697,2.1360930522423677e-05
NSGA2,1,400,110,400,5.448549,0.015839993552835857,0.03904425478479402,0.8047608224759883,0.003579976106929663,2.4911994028410744e-05
NSGA2,1,400,115,400,6.702559,0.01598347642175385,0.03863322826220623,0.8048726160319174,0.0035552380084760433,2.4568893364419942e-05
NSGA2,1,400,120,400,5.994393,0.015984131236298656,0.03835672233565948,0.8050427555580538,0.003369055753682816,2.2295737207463948e-05
NSGA2,1,400,125,400,6.349706,0.016059287857992505,0.03826854929613462,0.8074144428307636,0.0033224048082639256,2.1584989324510188e-05
NSGA2,1,400,130,400,6.396084,0.015572487231765828,0.03693665378205743,0.8128950209536873,0.0028426721972538353,1.5578390398029993e-05
NSGA2,1,400,135,400,6.445995,0.015185967310868784,0.03546987941837886,0.8198815001982656,0.002890974823881639,1.5483360756522885e-05
NSGA2,1,400,140,400,6.959665,0.015333607909754281,0.034724334889804045,0.8219591349849549,0.0029665978342090396,1.6007243288206917e-05
NSGA2,1,400,145,400,6.751318,0.015465186017811746,0.0328956989699648,0.8221151107008804,0.0029502910451299135,1.5719054758813342e-05
NSGA2,1,400,150,400,7.084125,0.01508068350650631,0.032610762138535324,0.8256139445152952,0.0029644699633326072,1.572882755457151e-05
NSGA2,1,400,155,400,7.194835,0.015429732822191787,0.031737663571434725,0.8259153967465243,0.003092785816185224,1.7265007693345006e-05
NSGA2,1,400,160,400,7.42606,0.015261392655334643,0.030784356400225744,0.8259773689885531,0.003035424460236382,1.6552905305166827e-05
NSGA2,1,400,165,400,6.983972,0.015160231757344805,0.030146073397000414,0.8261204883980753,0.0032208250077774858,1.8608316273458424e-05
NSGA2,1,400,170,400,7.966536,0.014909628676174095,0.029984495248305987,0.8266420022900952,0.00308956421663025,1.6867501772377784e-05
NSGA2,1,400,175,400,8.223744,0.014678200961266697,0.02950485222992298,0.8267335603075783,0.0030557953191980903,1.672344345574473e-05
NSGA2,1,400,180,400,7.771124,0.014679556811750628,0.029369383463740902,0.8274790282122105,0.0030076931635706415,1.61815186298881e-05
NSGA2,1,400,185,400,8.118478,0.014620081349234737,0.028786031337457264,0.8280990587020334,0.0031861802727831683,1.7965664826122006e-05
NSGA2,1,400,190,400,7.979946,0.014249713304775629,0.028264806985429443,0.8285141504186978,0.0029565346601620464,1.5250205005040694e-05
NSGA2,1,400,195,400,8.376787,0.014159140268688704,0.027377865375791115,0.833378838598969,0.003256889335121462,1.8332248219666602e-05
NSGA2,1,400,200,400,9.104921,0.014377554097228589,0.027318108376520794,0.8338433187647081,0.0033290106422896497,1.912954821667688e-05
NSGA2,1,400,205,400,8.312439,0.014913722134097855,0.026611961871445693,0.8340675260405221,0.003201949631841673,1.7274667697227143e-05
NSGA2,1,400,210,400,8.958378,0.01474124425250077,0.026061093391163994,0.8360110893452359,0.003031853691022184,1.527655576032523e-05
NSGA2,1,400,215,400,9.003861,0.014518828830003867,0.025947039713534577,0.8374754402833534,0.0031526962592016245,1.6529865340062407e-05
NSGA2,1,400,220,400,9.423579,0.014552035486280472,0.026262443239745862,0.8374956423953526,0.003131140270298327,1.6304598180662774e-05
NSGA2,1,400,225,400,9.232032,0.014650994897610271,0.02566944945782551,0.8393308756511593,0.0036627008037615244,2.2006656382061983e-05
NSGA2,1,400,230,400,11.755354,0.014587879669658896,0.025175292923597145,0.8404499367861387,0.0036986722787219943,2.1324350839732054e-05
NSGA2,1,400,235,400,8.688152,0.014103518382580395,0.024940666557960896,0.840452117804245,0.0036397504847944483,2.06113589428597e-05
NSGA2,1,400,240,400,9.891848,0.014108727355351047,0.024491373683285682,0.8405733692338337,0.0030807430933633374,1.4766391153307832e-05
NSGA2,1,400,245,400,9.325675,0.014070843419239325,0.024639027187324296,0.8406544489348933,0.003176230682812229,1.5730080986518527e-05
NSGA2,1,400,250,400,10.766106,0.014578534832002062,0.025005663297898786,0.8408617801173156,0.003391170799612799,1.8096245081134837e-05
NSGA2,1,400,255,400,10.186864,0.014297056244638555,0.02497775369520581,0.8408898927488407,0.003455298645089998,1.867314177995519e-05
NSGA2,1,400,260,400,10.732465,0.014425623237285743,0.024821387078235252,0.8414707090394002,0.003232743404450298,1.631804737948061e-05
NSGA2,1,400,265,400,10.930535,0.014081566839128402,0.024692790665938966,0.8434519715813981,0.0031757591031681878,1.591654172304706e-05
NSGA2,1,400,270,400,10.906336,0.014153612781732225,0.02473403081619664,0.8434641411557893,0.0030791778387263833,1.4708805976607188e-05
NSGA2,1,400,275,400,10.864759,0.013976761876889116,0.022762603687600753,0.8486488291959947,0.003846371387173075,2.2097806082221166e-05
NSGA2,1,400,280,400,10.611653,0.013607936636005836,0.022537012851479018,0.8488794731261329,0.0037280498154324293,2.075917745157276e-05
NSGA2,1,400,285,400,11.787146,0.013271307419181942,0.022437034722718595,0.8538489857214159,0.0034927750719661275,1.816434200590433e-05
NSGA2,1,400,290,400,11.793341999999999,0.013620329372580295,0.022004781184121004,0.8540748620511924,0.0034307512711831125,1.7326333962877128e-05
NSGA2,1,400,295,400,11.749532,0.013505792630600815,0.021705924209918213,0.8543355918323605,0.0036371118153516735,1.953792887024672e-05
NSGA2,1,400,300,400,11.955259999999999,0.01316953556392457,0.022040837431890642,0.8544958587171977,0.003130726041992155,1.4456707002294464e-05
NSGA2,1,400,305,400,11.800106,0.012829776683017097,0.021413536564866543,0.8546954247980949,0.003374665940977004,1.6608641854737336e-05
NSGA2,1,400,310,400,12.403259,0.012551980765381898,0.021273451348655794,0.8560745459897248,0.003415719258137597,1.675257173962851e-05
NSGA2,1,400,315,400,12.289677,0.012665218945161346,0.02209551249093966,0.858360018796835,0.0030558885658485777,1.3463761912642747e-05
NSGA2,1,400,320,400,12.719421,0.012542948022557837,0.021899935636977886,0.8587892669893886,0.003144478787878676,1.4248620929265873e-05
NSGA2,1,400,325,400,12.815869,0.01241285050059818,0.02111414799290006,0.8606717851322205,0.003423209267693456,1.6846781866529556e-05
NSGA2,1,400,330,400,13.874576,0.01252621513734491,0.021042135896045304,0.8608827885882755,0.003390266252621002,1.634755679703376e-05
NSGA2,1,400,335,400,13.021382,0.012450875539251217,0.02057521421808276,0.8611390742463194,0.0035650765462948895,1.8076858556997633e-05
NSGA2,1,400,340,400,12.544033,0.0122869929638894,0.02065973942438669,0.8612378850707123,0.0035855906430501457,1.8285492135204298e-05
NSGA2,1,400,345,400,13.454574,0.011946159439887267,0.02040277297203141,0.8613348975702044,0.003393698032530406,1.6307652649317922e-05
NSGA2,1,400,350,400,13.227268,0.011982493003537287,0.020714652457933726,0.861340565786231,0.0034397200077169532,1.6752948145855033e-05
NSGA2,1,400,355,400,12.906242,0.012026078080974872,0.020453576934172515,0.8613587655566152,0.003317476269577042,1.55833458417561e-05
NSGA2,1,400,360,400,13.350393,0.011823069005449143,0.020495573890194917,0.861371623248401,0.003205576452698257,1.450708571055852e-05
NSGA2,1,400,365,400,14.17602,0.01180792821123814,0.019845586452614,0.8630604641377575,0.0034263531494958355,1.653349576693093e-05
NSGA2,1,400,370,400,14.295763,0.011618457008652074,0.019545909579147227,0.8630499024492462,0.003539695816294651,1.7570485779534108e-05
NSGA2,1,400,375,400,13.452926,0.011589883877600259,0.01931458145961116,0.8631174021018492,0.004065574167557415,2.3179051488014877e-05
NSGA2,1,400,380,400,14.706948,0.011150476242228273,0.01970135218618728,0.8661488579851151,0.004176266039855076,2.4602230855069503e-05
NSGA2,1,400,385,400,14.669719,0.011440286781022607,0.019170100812838656,0.8666451939037982,0.004327933096576846,2.641021762153356e-05
NSGA2,1,400,390,400,15.607721,0.010961326201765908,0.019119643286519515,0.8666648568419744,0.003102353680461441,1.359549774219952e-05
NSGA2,1,400,395,400,14.661769,0.01052950467108247,0.019378931438134513,0.8667320799710603,0.0033717088700129603,1.6058783157015683e-05
NSGA2,1,400,400,400,15.120367,0.011159949685785304,0.0191276158969462,0.8692110310116716,0.003176059026072252,1.4170643922949966e-05
NSGA2,1,400,405,400,15.993524,0.011683970031564033,0.019201414869702678,0.8703978916716069,0.0034073853575096137,1.6245376761437662e-05
NSGA2,1,400,410,400,15.36422,0.011473063262857974,0.018758046082172648,0.8704215916089015,0.003908169655651479,2.0950458903261763e-05
NSGA2,1,400,415,400,15.721914,0.01162164502285274,0.01892311786325937,0.8710311177053083,0.0035754963903257488,1.7894934700411778e-05
NSGA2,1,400,420,400,16.149643,0.011369643332628323,0.018602873082592643,0.8711250098338176,0.0035575155663388927,1.7725191415733748e-05
NSGA2,1,400,425,400,16.99368,0.011432056242158978,0.018873039158954413,0.8711912116092514,0.003189862187114988,1.4174668689834472e-05
NSGA2,1,400,430,400,16.456657,0.011331999841404504,0.0182700215855275,0.8711950299078501,0.0032961103842505837,1.5134656576502342e-05
NSGA2,1,400,435,400,16.194741,0.011209795413293087,0.01827613772811954,0.8713652120771631,0.00353709532798438,1.7416524694635336e-05
NSGA2,1,400,440,400,16.600705,0.010945494482580706,0.018273608890205666,0.8721676080717913,0.0035253742498085666,1.7291765144327794e-05
NSGA2,1,400,445,400,15.565672,0.01090124095358529,0.017666982741505084,0.8756268261211364,0.003372075139950104,1.573694276334153e-05
NSGA2,1,400,450,400,17.311562,0.010398422776315983,0.017455530265300806,0.8756727168301297,0.003289040787376864,1.497146835784329e-05
NSGA2,1,400,455,400,17.061409,0.01071537483726997,0.017216521076693615,0.8758497772055096,0.0033727624076905337,1.5744530553831832e-05
NSGA2,1,400,460,400,17.289285,0.010354989582111918,0.017293432795761364,0.8758975493594947,0.0033905815076578465,1.604111771037238e-05
NSGA2,1,400,465,400,16.626992,0.01042143598941843,0.017286669957810478,0.8758971509413243,0.0032099205683361757,1.4211637861444011e-05
NSGA2,1,400,470,400,17.643931,0.010086515549074485,0.016843419517221955,0.8761692529092284,0.003170822469238651,1.386634166017997e-05
NSGA2,1,400,475,400,17.543392,0.010262330263314044,0.016747119131210082,0.8776226482783185,0.003049978493241986,1.28084247050724e-05
NSGA2,1,400,480,400,18.291518,0.00975430545221647,0.016609329463498124,0.8776818519840364,0.0032231053365562915,1.4303791274798155e-05
NSGA2,1,400,485,400,18.294984,0.009575768172283736,0.017284321246392648,0.8776550526062207,0.0034417146144640792,1.6309921757282348e-05
NSGA2,1,400,490,400,17.420647,0.009305237533460877,0.016995618593080238,0.8777003241299145,0.0034243462413397156,1.598218740741633e-05
NSGA2,1,400,495,400,18.464278,0.009021544944897032,0.01672800580218306,0.8787224661983735,0.003818613117019734,1.9845318228718635e-05
NSGA2,1,400,500,400,17.421725,0.008509643508477584,0.01669734313781022,0.879025763050737,0.0034029154641809995,1.5753888295008744e-05
NSGA3,1,20,1,20,0.0,0.20673621203635068,0.2595307618368609,0.4617905239540671,0.009788070343673447,0.0002979617973063142
NSGA3,1,26,5,26,3.5393470000000002,0.16354313882982238,0.22922402199505035,0.5011260069060974,0.010533153797506831,0.0002760179644042516
NSGA3,1,26,10,26,3.9793380000000003,0.12329516900822148,0.19079680051209688,0.5530468077671019,0.010522527196879319,0.0002729209861256517
NSGA3,1,31,15,31,4.0847809999999996,0.09463369031451527,0.17213003524619575,0.5891987617397039,0.01270561050468823,0.00036122252732716454
NSGA3,1,33,20,33,4.157727,0.0611097371771459,0.14066143184187366,0.617897998481858,0.011138048958385499,0.0003130046390435246
NSGA3,1,38,25,38,4.341178,0.05517797584446502,0.11389141575115388,0.6619053253200549,0.006973649954341574,0.00012391506488125146
NSGA3,1,25,30,25,4.475377,0.039037842948625244,0.10476304929570662,0.677467208189207,0.007925857155800877,0.00021740913828272214
NSGA3,1,34,35,34,4.407704,0.03189528474580888,0.08740793489763762,0.7036107046210626,0.009515676194099236,0.00027162582793794276
NSGA3,1,40,40,40,4.189944,0.03309141716321018,0.07631514769139587,0.7324432366256499,0.013909353978953012,0.0004600986298907084
NSGA3,1,40,45,40,4.337208,0.027193708692383266,0.07590075484049427,0.7461864225702926,0.013440174835330079,0.0004802360932618153
NSGA3,1,40,50,40,4.339916,0.018173698184344923,0.0693108841266621,0.7618018380256608,0.01643782046027229,0.0007223563619726363
NSGA3,1,67,55,67,3.4102230000000002,0.018958597270401313,0.06517554021538129,0.7649976685735808,0.009500432576352288,0.00022537594562833905
NSGA3,1,61,60,61,3.902238,0.013567330829845925,0.06792991194094186,0.7709325052968556,0.005580990024419777,0.00011186449104049318
NSGA3,1,85,65,85,4.116553,0.011475751231771525,0.0646192139255778,0.7787578187524189,0.0056081505097982254,0.00010824043699623523
NSGA3,1,79,70,79,4.174159,0.008502777206370948,0.06386671205844152,0.7788891597596692,0.0036514502158673237,5.230965602894609e-05
NSGA3,1,83,75,83,4.6166730000000005,0.009216918118408416,0.05952477226715854,0.7871339715234381,0.010730278570034365,0.00029279466737341963
NSGA3,1,99,80,99,3.410135,0.008476886956213181,0.05858583060611049,0.7919030615017123,0.010040187768566553,0.0002494532348820931
NSGA3,1,101,85,101,4.125307,0.008120189397280968,0.05920123183017957,0.7952500052424226,0.005606436047890343,0.00010372592014391938
NSGA3,1,132,90,132,3.52283,0.007673192178333159,0.05507514765729493,0.8003615159120281,0.009854937816623267,0.00023544115625516763
NSGA3,1,136,95,136,4.224074,0.007532895396191158,0.05874860734729977,0.8009560509233806,0.013179911012712315,0.00042032292007198696
NSGA3,1,181,100,181,3.98841,0.00649456923955734,0.05655879667805431,0.8013573624116069,0.008569465437637525,0.0001794980569882452
NSGA3,1,185,105,185,4.468099,0.0059608519491689185,0.05494395668755597,0.8032856565073239,0.00820427457897719,0.00016376993574411885
NSGA3,1,178,110,178,4.011465,0.006214539778315568,0.05302521472011626,0.8112087280766991,0.00892463175084811,0.00018989699247661773
NSGA3,1,188,115,188,4.247148,0.006201105252907369,0.05404779545883764,0.8113303571358469,0.01099871814846285,0.0002883308610498948
NSGA3,1,189,120,189,3.656377,0.006139810095893352,0.05850702402917167,0.8119307430553326,0.005657851131364294,0.00010585258513623115
NSGA3,1,210,125,210,3.965462,0.005941212701338015,0.05714385932612096,0.8122036549318378,0.0048528177622660165,7.851049870720809e-05
NSGA3,1,208,130,208,4.34298,0.005957979538505678,0.054961208445059896,0.8164387059777293,0.005063384039182935,8.276045508377728e-05
NSGA3,1,216,135,216,3.9694469999999997,0.0058162809360330706,0.047742839582781686,0.8185393619545526,0.008155666828032529,0.00015405474290476666
NSGA3,1,221,140,221,5.839552,0.006247887242845729,0.04737908079839482,0.8238838220975624,0.010619979020335053,0.0002576537697593281
NSGA3,1,213,145,213,3.876906,0.006131042612321057,0.05119359088816957,0.8258457538990446,0.006112017901102356,0.00011695991534038174
NSGA3,1,211,150,211,3.59435,0.006120605774471793,0.045215116054670705,0.8284811501431257,0.008709861421055731,0.00017320339406773577
NSGA3,1,215,155,215,4.23749,0.00627968241248653,0.050355837163079196,0.829236949677604,0.006174925810885825,0.0001193505388326381
NSGA3,1,225,160,225,5.677968,0.006480773305152285,0.0498393248620582,0.8297374314428358,0.006035486292468488,0.00011321078995894439
NSGA3,1,234,165,234,5.131396,0.0062113135014540835,0.049728840843400464,0.8304622296194947,0.005387977071569622,9.035158550461987e-05
